Segment Number,Scene Title ,Start Time (min),End Time (min),Start Time (s) , End Time (s) ,Scene Details - A Level ,Scene Details - B Level,Original B Levels (Janice) fixed,Space-In/Outdoor,Who-N/G/M,Name - All,Name - Focus,Name - Speaking,Space-In/Outdoor,Location,Camera Angle,Words on Screen ,Music Presence ,Temporal Relationship ,Type of Jump,Arousal,valence
18,,0:49,0:52,49,52,First person view of a soldier running in battle with fellow soldiers. Someone is heard screaming amongst gunfire in the background, ,,Outdoor,G,Soldiers,Soldiers,,Outdoor,Afghanistan ,Medium,,No,,,5,-
19,John's Room ,0:52,0:53,52,53,John's eyes open at the sound of an echoing voice.,3. John wakes up from his nightmares and calms himself down. He sits contemplatively on his bed; unable to sleep. , ,Indoor,M,John,John,Unknown Soldier,Indoor,John's Room,Close Up,,No,,,4,-
20,,0:53,0:55,53,55,John immediately gets up from his bed. ,Segment 19-26,3. Watson Wake-Up,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,4,-
21,,0:55,0:59,55,59,John is panting and his breathing is rough from his nightmares. , ,,Indoor,M,John,John,,Indoor,John's Room,Close Up,,No,,,3,-
22,,0:59,1:05,59,65,"John is slowly calming down, his breathing is getting slower. ", ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,3,-
23,,1:05,1:23,65,83,John lies back down and continues to calm his breathing. He begins to weep., ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,Yes,,,3,-
24,,1:23,1:36,83,96,John sits upright on his bed contemplatively in the middle of the night with his bedside lamp on. He is unable to sleep. He looks across to the desk on the other side of the room where there is a cane resting by his desk. The rest of his simply furnished room is shown as the camera zooms out. , ,4. Watson Morning,Indoor,M,John,John,,Indoor,John's Room,Medium,,Yes,,,2,-
25,,1:36,1:42,96,102,Side view of John's face as he stares out into space contemplatively then looks down at his hands , ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,Yes,,,2,-
26,,1:42,1:47,102,107,A view of John sitting on his bed with his head down with his whole room in view, ,,Indoor,M,John,John,,Indoor,John's Room,Long,,Yes,,,2,-
27,,1:47,1:49,107,110,"The sunrises, light fades into the room and John's figure fades out of the room, signifying a passage of time. ",4. The sun comes up and John walks toward his desk with a cane to write on his blog. He has not written anything yet. , ,Indoor,M,John,John,,Indoor,John's Room,Long,,Yes,Jump,2,1,+
28,,1:50,1:52,110,112,John walks into the room with a gown on and walks toward his desk with his cane in his right hand.,Segment 27-36,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,2,+
29,,1:52,1:53,112,113,He places a mug with a coat of arms on his desk. , ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,3,+
30,,1:53,1:55,113,115,He also places a green apple on the desk. , ,,Indoor,M,John,John,,Indoor,John's Room,Close Up,,No,,,3,+
31,,1:55,1:58,115,118,John pulls out a chair underneath the desk and sits down with the support of his cane. , ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,3,+
32,,1:58,2:02,118,122,John pulls his cane out of the way and opens a drawer to the right in his desk., ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,3,+
33,,2:02,2:04,122,124,Close Up of the drawer as John takes out his laptop. Underneath it is a pistol and a white notebook., ,,Indoor,M,John,,,Indoor,John's Room,Close Up,,No,,,3,-
34,,2:04,2:05,124,125,John opens up his laptop., ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,3,+
35,,2:05,2:07,125,127,John puts his hands together and sighs as he stares into the laptop screen. , ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,3,+
36,,2:07,2:09,127,129,"His screen is displaying his blog entitled: ""THE PERSONAL BLOG OF Dr. John H. Watson."" There's nothing else written on the blog page. A Woman's voice (Psychotherapist's voice) is heard asking ""How is your blog going?""", ,,Indoor,G,Psychotherapist,,Psychotherapist,Indoor,John's Room,Close Up,,No,,,3,+
37,Psychotherapy Session ,2:09,2:15,129,135,"John is seen seated in another room with floral wallpaper and he hesitantly replies ""Yeah, good. Very good""",5. John meets his psychotherapist who reveals that John has trust issues and is having a hard time adjusting to normal life.,5. Watson Psychiatrist,Indoor,M,John,John,John,Indoor,Psychotherapist's Office,Medium,,No,Jump,2,3,+
38,,2:15,2:16,135,136,"A female psychotherapist and John are seen sitting across from each other in a brown colour themed room and the psychologist asks: ""You haven't written a word haven't you?""",Segment 37-44,,Indoor,"M, G","John, Psychotherapist","John, Psychotherapist",Psychotherapist,Indoor,Psychotherapist's Office,Long,,No,,,3,+
39,,2:16,2:18,136,138,"John points at the psychologist's notes and says: ""You just wrote 'still has trust issues'.""", ,,Indoor,M,John,John,John,Indoor,Psychotherapist's Office,Medium,,No,,,3,+
40,,2:18,2:24,138,144,"Psychologist points at John and says ""And you read my writing upside down. Do you see what I mean?""", ,,Indoor,G,Psychotherapist,Psychotherapist,Psychotherapist,Indoor,Psychotherapist's Office,Medium,,No,,,3,+
41,,2:24,2:26,144,146,John smirks and does not answer. , ,,Indoor,M,John,John,,Indoor,Psychotherapist's Office,Medium,,No,,,3,+
42,,2:26,2:31,146,151,"The Psychotherapist explains: ""John, you are a soldier.""", ,,Indoor,G,Psychotherapist,Psychotherapist,Psychotherapist,Indoor,Psychotherapist's Office,Medium,,No,,,3,+
43,,2:31,2:40,151,160,"The Psychotherapist continues: ""and it's gonna take you a while to adjust to civilian life; and writing a blog about everything that happens to you will honestly help you."" John gazes back at her as she speaks with a look of despair.", ,,Indoor,"M, G","John, Psychotherapist",John,Psychotherapist,Indoor,Psychotherapist's Office,Medium,,No,,,3,+
44,,2:40,2:44,160,164,"John says: ""Nothing happens to me.""", ,,Indoor,M,John,John,John,Indoor,Psychotherapist's Office,Medium,,Yes,,,4,+
45,Opening Credits,2:44,2:47,164,167,Shot of a London Metropolitan Area with lots of traffic ,6. Opening Credits,6. Intro Music,Outdoor,N,Nobody,,,Outdoor,London,Top,,Yes,,,4,+
46,,2:47,2:50,167,170,The Title SHERLOCK appears on the screen. London's famous cityline is shown ,Segment 45-55,,Outdoor,N,Nobody,,,Outdoor,London,Medium,SHERLOCK,Yes,,,4,+
47,,2:50,2:53,170,173,Another view of the streets of London. , ,,Outdoor,N,Nobody,,,Outdoor,London,Top,,Yes,,,4,+
48,,2:53,2:57,173,177,"Many crime-related scenes cut in and out. A fabric material, shadows, a gun, a man dressed in a suit lying on his bed with blood coming from his forehead. ", ,,Various,N,Nobody,,,Various,London,Close Up,,Yes,,,4,+
49,,2:57,2:59,177,179,"Many shots of the City of London with words overlayed such as: Bomber, Connection", ,,Outdoor,N,Nobody,,,Outdoor,London,Top,"Bomber, Connection",Yes,,,4,+
50,,2:59,3:00,179,180,Top view of a woman with a white shirt and black pants walking on the street. Strange symbols appear overlayed. , ,,Outdoor,N,Nobody,,,Outdoor,London,Top,,Yes,,,4,+
51,,3:00,3:02,180,182,Strange lines flow into the screen then cuts to a human eye. , ,,Unknown,N,Nobody,,,Unknown,Unknown,Close Up,,Yes,,,4,+
52,,3:02,3:05,182,185,"A portrait of what looks like Sherlock, then fingers holding a small bottle appear. ", ,,Unknown,N,Nobody,,,Unknown,Unknown,Close Up,,Yes,,,4,+
53,,3:05,3:09,185,189,A single drop of clear fluid hangs on the tip of a pipette then finally drops down. , ,,Unknown,N,Nobody,,,Unknown,Unknown,Close Up,,Yes,,,4,+
54,,3:09,3:11,189,191,The drop of liquid drops onto a sample of blood and spreads. , ,,Unknown,N,Nobody,,,Unknown,Unknown,Close Up,,Yes,,,4,+
55,,3:11,3:16,191,196,Zoom into the sample of blood to reveal many red blood cells moving around. Fade out to black. , ,,Unknown,N,Nobody,,,Unknown,Unknown,Close Up,,Yes,,,4,+
56,First Murder ,3:16,3:20,196,200,View of London from the top of a building. October twelfth,"7. Oct. 12. Sir Jeffrey Patterson is murdered on the way to see his secret lover and secretary, Helen, who urges him to take a cab to come see her. He is later seen taking a pill from a small glass bottle, leading to his death in an vacant office building. His legitimate wife Margaret Patterson states at a press conference that it is a shock that he would take his own life. ",7. Get a cab discussion,Outdoor,,Nobody,,,Outdoor,London,Top,October twelfth,No,Jump,3,1,+
57,,3:20,3:24,200,204,"A woman (Helen, a secretary) with a purple shirt and a black skirt is speaking on the phone as she walks across a room in a high rise building. A man's voice (Sir Jeffrey)  is heard on the phone saying: ""What Do you mean, there's no ruddy car?"" Helen, his secretary, replies: ""He went to Waterloo. I'm sorry.""",Segment 56-72,,Indoor,G,"Helen, Sir Jeffrey",Helen,"Sir Jeffrey, Helen",Indoor,High Rise Office Building,Medium,,No,,,2,+
58,,3:24,3:25,204,205,"Sir Jeffrey, a middle-aged man is seen speaking with the woman on his cell phone while walking across the concourse of a busy london railway station. Helen says to him on the phone: ""Get a cab.""", ,,Indoor,G,"Helen, Sir Jeffrey",Sir Jeffrey,Helen,Indoor,London Railway Station,Long,,No,,,3,+
59,,3:25,3:26,205,206,"Sir Jeffrey replies while walking: ""I never get cabs.""", ,,Indoor,G,Sir Jeffrey,Sir Jeffrey,Sir Jeffrey ,Indoor,London Railway Station,Medium,,No,,,3,+
60,,3:26,3:29,206,209,"Woman looks around to see if anyone is within earshot and says quietly: ""I love you."" on the phone", ,,Indoor,G,Helen ,Helen,Helen,Indoor,High Rise Office Building,Medium,,No,,,3,+
61,,3:29,3:30,209,210,"Sir Jeffrey asks: ""When?""", ,,Indoor,G,Sir Jeffrey,Sir Jeffrey,Sir Jeffrey,Indoor,London Railway Station,Medium,,No,,,3,+
62,,3:30,3:33,210,213,"Woman giggles and says ""Get a cab!""", ,,Indoor,G,Helen,Helen,Helen,Indoor,High Rise Office Building,Medium,,No,,,3,+
63,,3:33,3:36,213,216,"Sir Jeffrey smiles, gets off the phone and looks around him to get a cab. ", ,,Indoor,G,Sir Jeffrey,Sir Jeffrey,,Indoor,London Railway Station,Medium,,Yes,,,3,+
64,,3:36,3:44,216,224,Fade into a pair of hands shakily unscrewing a small glass bottle with three white and red pills inside. One is tipped out. , ,8. Poison Vial,Indoor,G,Sir Jeffrey,Sir Jeffrey,,Indoor,Empty Office Building,Close Up,,Yes,Jump,2,4,-
65,,3:44,3:45,224,225,Sir Jeffrey holds a pill to his his mouth. He is sitting by a window inside a high rise building with the pill in his right hand and the bottle in the other hand. He seems to be fearfully looking up at someone. , ,,Indoor,G,Sir Jeffrey,Sir Jeffrey,,Indoor,Empty Office Building,Medium,,Yes,,,4,-
66,,3:45,3:48,225,228,Sir Jeffrey's eyes look very fearful. , ,,Indoor,G,Sir Jeffrey,Sir Jeffrey,,Indoor,Empty Office Building,Close Up,,Yes,,,4,-
67,,3:48,3:50,228,230,Sir Jeffrey puts the pill into his mouth. , ,,Indoor,G,Sir Jeffrey,Sir Jeffrey,,Indoor,Empty Office Building,Close Up,,Yes,,,4,-
68,,3:50,3:54,230,234,"Sir Jeffrey is seen from the outside of the building. He is lying down on his side by the window; choking and gasping for breath, touching the glass window. Sir Jeffrey's wife (Margaret Patterson) says in the background: ""My husband…""", ,,Outdoor,G,"Sir Jeffrey, Margaret Patterson",Sir Jeffrey,Margaret Patterson,Outdoor,Empty Office Building,Long,,Yes,,,4,-
69,,3:54,3:58,234,238,"Sir Jeffrey is seen from a zoomed out view from the inside of a building. It seems to be an abandoned office building. Ms. Patterson's voice continues: ""…was a happy man who lived life to the full.""", ,9. Press Conference,Indoor,G,"Sir Jeffrey, Margaret Patterson",Sir Jeffrey,Margaret Patterson,Indoor,Empty Office Building,Long,,Yes,,,4,-
70,,3:58,4:07,238,247,"Ms. Patterson is seated at a table at a press conference, reading tearfully from her statement saying: ""He loved his family and his work- and that he should have taken his own life in this way...."" She has a policeman to her left and a lawyer to her right. Behind her is a large photo of Sir Jeffrey Patterson. ", ,,Indoor,G,"Margaret Patterson, Policeman, Lawyer, Reporters","Margaret Patterson, Policeman, Lawyer",Margaret Patterson,Indoor,Press Conference 1,Medium,,Yes,,,3,-
71,,4:07,4:14,247,254,"The camera pans to the left end of the room, where Helen is standing trying to keep control of her feelings, weeping. Ms. Patterson continues: ""….is a mystery and a shock to all who knew him.""", ,,Indoor,G,"Helen, Margaret Patterson",Helen,Margaret Patterson,Indoor,Press Conference 1,Medium,,Yes,,,3,-
72,,4:14,4:20,254,260,Helen closes her eyes and let her tears roll down. , ,,Indoor,G,Helen,Helen,,Indoor,Press Conference 1,Close Up,,Yes,,,3,-
73,Second Murder,4:20,4:28,260,268,"November twenty sixth.Fade into a rainy night where two young men are walking in the rain, both with dark clothes on. One with an umbrella (gary), one without (jimmy). Jimmy has his hood on instead. Jimmy calls out ""yes, yes, taxi, yes!"" to a black cab that approaches with its yellow sign lit to show that it is available. Jimmy walks out onto the road and whistles. ","8. Nov. 26. Two young teenagers are walking on the street on a rainy day, when one of them (Jimmy) heads back to his place to grab an umbrella having failed to hail a taxi. Jimmy is later found in a sports centre taking a pill from a small bottle and his death is headlined in the newspapers.",10. Teens in Rain,Outdoor,G,"Jimmy, Gary",Jimmy,Jimmy,Outdoor,Streets in the Rain,Medium,November twenty sixth.,Yes,Jump,3,3,-
74,,4:28,4:32,268,272,"The taxi does not stop and keeps going.Jimmy makes an exasperated sound. He walks back to Gary and tells him: ""I'll be back in two minutes, mate."" He starts walking back to where they came from. ",Segment 73-86,,Outdoor,G,"Jimmy, Gary","Jimmy, Gary",Jimmy,Outdoor,Streets in the Rain,Medium,,Yes,,,3,-
75,,4:32,4:33,272,273,"Gary asks Jimmy: ""What?""", ,,Outdoor,G,"Jimmy, Gary","Jimmy, Gary",Gary,Outdoor,Streets in the Rain,Medium,,Yes,,,3,-
76,,4:33,4:35,273,275,"Jimmy turns around and replies: ""I'm just going home; get my mum's umbrella.""", ,,Outdoor,G,"Jimmy, Gary","Jimmy, Gary",Jimmy,Outdoor,Streets in the Rain,Medium,,Yes,,,3,-
77,,4:35,4:36,275,276,"Gary says: ""You can share mine!""", ,,Outdoor,G,"Jimmy, Gary","Jimmy, Gary",Gary,Outdoor,Streets in the Rain,Medium,,Yes,,,3,-
78,,4:36,4:38,276,278,"Jimmy starts running away and yells: ""Two minutes, all right?""", ,,Outdoor,G,"Jimmy, Gary","Jimmy, Gary",Jimmy,Outdoor,Streets in the Rain,Medium,,Yes,,,3,-
79,,4:38,4:43,278,283,Shot of Jimmy getting soaked in the rain walking away., ,,Outdoor,G,Jimmy ,Jimmy,,Outdoor,Streets in the Rain,Medium,,Yes,Jump,2,3,-
80,,4:43,4:50,283,290,"Gary looks at his watch, having apparently waited a long time for Jimmy and heads back to find Jimmy. ", ,,Outdoor,G,Gary,Gary,,Outdoor,Streets in the Rain,Medium,,Yes,Jump,2,3,-
81,,4:50,4:53,290,293,Some time later….Close up view of Jimmy's scared eyes. , ,11. Poison Vial #2,Indoor,G,Jimmy,Jimmy,,Indoor,Sports Centre,Close Up,,Yes,Jump,2,4,-
82,,4:53,4:55,293,295,Jimmy's hands are shakily clutching a small glass bottle which contains three large white and red capsules. , ,,Indoor,G,Jimmy,Jimmy,,Indoor,Sports Centre,Close Up,,Yes,,,4,-
83,,4:55,4:56,295,296,Jimmy is sobbing., ,,Indoor,G,Jimmy,Jimmy,,Indoor,Sports Centre,Close Up,,Yes,,,4,-
84,,4:56,4:58,296,298,"Jimmy unscrews the lid, his hands are shaking. ", ,,Indoor,G,Jimmy,Jimmy,,Indoor,Sports Centre,Close Up,,Yes,,,4,-
85,,4:58,5:00,298,300,"Jimmy is sitting on a window ledge inside a sports centre overlooking a sports court. His hands, holding the pills, are shaking and he continues to sob. ", ,,Indoor,G,Jimmy,Jimmy,,Indoor,Sports Centre,Long,,Yes,,,4,-
86,,5:00,5:07,300,307,"Fade in to a partial view of an article in The Daily Express. The headline is: ""Boy, eighteen, kills himself inside sports centre.""", ,,Unknown,N,Nobody,,,Unknown,Unknown,Close Up,,Yes,Jump,3,2,-
87,Third Murder,5:07,5:11,307,311,"January twenty seventh. At a public venue, a party is being held. A large poster showing the guest of honour is labelled: Your local MP, Beth Davenport, Junior Minister for Transport. Pounding music is coming out of the room. ","9. Jan. 27. On the night of Junior Minister of Transport, Beth Davenport's birthday celebration, Beth sneaks out of the party, but realises she doesn't have her car keys. She is later found in a portacabin, sobbing hysterically as she reaches for the same pills in the same glass bottle as the previous two victims. ",12. Poison Vial #3,Indoor,G,Beth Davenport,Beth Davenport,,Indoor,Party Venue,Medium,"January twenty seventh. Your local MP, Beth Davenport, Junior Minister for Transport.",Yes,Jump,3,3,+
88,,5:11,5:13,311,313,One of Beth's woman aides walks out of the room in formalwear. She looks a little frustrated.,Segment 87-97,,Indoor,G,Woman Aide,Woman Aide,,Indoor,Party Venue,Medium,,Yes,,,3,+
89,,5:13,5:14,313,314,"The woman aide goes over to her male colleague who si standing at the bar. He looks at her in exasperation. He asks: ""Is she still dancing?"" In the back a banner that says: ""Happy Birthday"" is visible, meaning that it is Beth's birthday celebration.", ,,Indoor,G,"Man Aide, Woman Aide",Man Aide,Man Aide,Indoor,Party Venue,Medium,,Yes,,,3,+
90,,5:14,5:16,314,316,"The woman replies: ""Yeah, if you can call it that.""", ,,Indoor,G,"Man Aide, Woman Aide","Man Aide, Woman Aide",Woman Aide,Indoor,Party Venue,Medium,,Yes,,,3,+
91,,5:16,5:18,316,318,"The man aide asks the woman: ""Did you get the car keys off her?""", ,,Indoor,G,"Man Aide, Woman Aide","Man Aide, Woman Aide",Man Aide,Indoor,Party Venue,Medium,,Yes,,,3,+
92,,5:18,5:21,318,321,"The woman aide shows him the keys, She says: ""got them out of her bag."" The man aide smiles with satisfaction. ", ,,Indoor,G,"Man Aide, Woman Aide","Man Aide, Woman Aide",Woman Aide,Indoor,Party Venue,Medium,,Yes,,,3,+
93,,5:21,5:22,321,322,"The Man aide looks into the dance hall and frowns. He asks: ""Where is she?""", ,,Indoor,G,"Man Aide, Woman Aide","Man Aide, Woman Aide",Man Aide,Indoor,Party Venue,Medium,,Yes,,,3,+
94,,5:22,5:28,322,328,Beth is seen outside in the dark at night having slipped out of the venue. She is next to her car looking for her keys in her bag. She sighs when she can't find them and looks around helplessly. , ,,Outdoor,G,Beth Davenport,Beth Davenport,,Outdoor,Outside of the Party Venue,Medium,,Yes,,,3,-
95,,5:28,5:31,328,331,Cut to a building site with many portacabins.  , ,,Outdoor,N,Nobody,,,Outdoor,Portacabin on a building Site,Long,,Yes,,,3,-
96,,5:31,5:36,331,336,A close up of Beth Davenport's face as she sobs hysterically. , ,,Indoor,G,Beth Davenport,Beth Davenport,,Indoor,Portacabin on a Building Site,Close Up,,Yes,,,4,-
97,,5:36,5:41,336,341,"As Beth continues to cry in the background, she reaches out a trembling hand towards a small glass bottle which contains three red and white large capsules. Sergeant Donovan voices over saying: ""The body of Beth Davenport, Junior Minister for Transport, was found..."" The title of the episode: A STUDY IN PINK appears on the screen. ", ,,Indoor,G,"Beth Davenport, Donovan",Beth Davenport,Donovan,Indoor,Portacabin on a Building Site,Close Up,A STUDY IN PINK ,Yes,,,4,-
98,Police Press Conference,5:41,5:44,341,344,"Police Press Conference Room. Camera has viewpoint of a reporter. Detective Inspector Lestrade sits uncomfortably at the table in front of the press while his colleague, Detective Sergeant Sally Donovan addresses the reporters. She says: ""…late last night on a building site in Greater London.""","10. DI Lestrade and Sergeant Donovan are holding a press conference regarding the three victims of what appear to be linked suicides. Everytime a reporter asks a question and Lestrade answers, a mysterious text is sent to all who are present at the conference saying: ""Wrong!"" Lestrade wraps up the conference. It is obvious that Donovan and Lestrade knows who is sending these texts - Sherlock Holmes.",13. Police Press Conference,Indoor,G,"Lestrade, Donovan","Lestrade, Donovan",Donovan,Indoor,Police Press Conference Room,"Tracking, Medium",,Yes,,,3,+
99,,5:44,5:46,344,346,"Donovan looks up at the reporters and continues: ""Preliminary investigations…""",Segment 98-137,,Indoor,G,Donovan,Donovan,Donovan,Indoor,Police Press Conference Room,"Tracking, Medium",,No,,,3,+
100,,5:46,5:49,346,349,"Lestrade looks distressed. Donovan continues: ""…suggest that this was suicide. We can confirm that this…""", ,,Indoor,G,"Lestrade, Donovan",Lestrade  ,Donovan,Indoor,Police Press Conference Room,"Tracking, Medium",,No,,,3,+
101,,5:49,5:58,349,358,"Lestrade has his hands together and is seated to the right of Donovan. Donovan continues: ""…apparent suicide closely resembles those of Sir Jeffrey Patterson and James Phillimore. In the light of this, these incidents are now being treated as linked.""", ,,Indoor,G,"Lestrade, Donovan","Lestrade, Donovan",Donovan,Indoor,Police Press Conference Room,"Tracking, Medium",,No,,,3,+
102,,5:58,6:02,358,362,"A view of the whole press conference room. Many reporters are present. Donovan finishes her speech saying: ""The investigation is on-going, but Detective Inspector Lestrade will take questions now.""", ,,Indoor,G,"Lestrade, Donovan, Reporters","Lestrade, Donovan, Reporters ",Donovan,Indoor,Police Press Conference Room,Long,,No,,,4,+
103,,6:02,6:05,362,365,"Reporter 1  raises his hand and asks Lestrade: ""Detective Inspector, how can suicides be linked?"" ", ,,Indoor,G,Reporter 1,Reporter 1,Reporter 1,Indoor,Police Press Conference Room,Medium,,No,,,4,+
104,,6:05,6:13,365,373,"Lestrade answers: ""Well, they all took the same poison; um, they were all found in places they had no reason to be; none of them had shown any prior indication of…""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Police Press Conference Room,"Tracking, Medium",,No,,,4,+
105,,6:13,6:15,373,375,"Reporter 1 interrupts and states: ""But you can't have serial suicides.""", ,,Indoor,G,Reporter 1,Reporter 1,Reporter 1,Indoor,Police Press Conference Room,Medium,,No,,,4,+
106,,6:15,6:17,375,377,"Lestrade replies: ""Well, apparently you can.""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Police Press Conference Room,"Tracking, Medium",,No,,,4,+
107,,6:17,6:19,377,379,"Reporter 2 asks: ""These three people, there's nothing that links them?""", ,,Indoor,G,Reporter 2,Reporter 2,Reporter 2,Indoor,Police Press Conference Room,Medium,,No,,,4,+
108,,6:19,6:24,379,384,"Lestrade answers: ""There's no link been found yet, but we're looking for it. There has to be one.""", ,,Indoor,G,Lestrade,Lestrade  ,Lestrade,Indoor,Police Press Conference Room,"Tracking, Medium",,No,,,4,+
109,,6:24,6:26,384,386,Everyone's phones trill a text message alert at the same time. The reporters all check their phones. , ,,Indoor,G,Reporters,Reporters,,Indoor,Police Press Conference Room,Medium,,No,,,4,+
110,,6:26,6:27,386,387,Lestrade and Donovan each look down at their phones, ,,Indoor,G,"Lestrade, Donovan","Lestrade, Donovan",,Indoor,Police Press Conference Room,Medium,,No,,,4,+
111,,6:27,6:29,387,389,"As the reporters look at their phones, each message reads: Wrong!There are cameramen at the back of the room as well. ", ,,Indoor,G,"Reporters, Cameramen",Reporters,,Indoor,Police Press Conference Room,"Over the Shoulder, Medium",Wrong!,No,,,4,+
112,,6:29,6:30,389,390,Donovan looks down at her phone. , ,,Indoor,G,Donovan,Donovan,,Indoor,Police Press Conference Room,Medium,,No,,,4,+
113,,6:30,6:31,390,391,"A closer look at the phone in Donovan's hands which also shows a text message that says: ""Wrong!""", ,,Indoor,G,Donovan,Donovan,,Indoor,Police Press Conference Room,Close Up,,No,,,4,+
114,,6:31,6:33,391,393,"Donovan looks up from her phone and says: ""If you have all got texts, please ignore them.""", ,,Indoor,G,Donovan,Donovan,Donovan,Indoor,Police Press Conference Room,Medium,,No,,,4,+
